Kind|Domain|Name|ShortDesc|Value|Unit|Multiplicity|Type|Remarks
var|Ver|nOfAccFailed|Number of commands which have failed their Acceptance Check|0|||Ver:CrPsNOfCmd_t|
var|Ver|failCodeAccFailed|Failure code of last command which failed its Acceptance|0|||Ver:CrPsFailCode_t|
var|Ver|pcktIdAccFailed|Packet identifier of last command which failed its Acceptance Check|0|||Gen:CrPsThirteenBit_t|
var|Ver|nOfStartFailed|Number of commands which have failed their Start Action|0|||Ver:CrPsNOfCmd_t|
var|Ver|failCodeStartFailed|Failure code of last command which failed its Start Check|0|||Ver:CrPsFailCode_t|
var|Ver|pcktIdStartFailed|Packet identifier of last command which failed its Start Check|0|||Gen:CrPsThirteenBit_t|
var|Ver|nOfPrgrFailed|Number of commands which have failed their Progress Action|0|||Ver:CrPsNOfCmd_t|
var|Ver|failCodePrgrFailed|Failure code of last command which failed its Progress Check|0|||Ver:CrPsFailCode_t|
var|Ver|pcktIdPrgrFailed|Packet identifier of last command which failed its Progress Action|0|||Gen:CrPsThirteenBit_t|
var|Ver|stepPrgrFailed|Step identifier of last command which failed its Progress Check|0|||Gen:CrFwProgressStepId_t|
var|Ver|nOfTermFailed|Number of commands which have failed their Termination Action|0|||Ver:CrPsNOfCmd_t|
var|Ver|failCodeTermFailed|Failure code of last command which failed its Termination|0|||Ver:CrPsFailCode_t|
var|Ver|pcktIdTermFailed|Packet identifier of last command which failed its Termination|0|||Gen:CrPsThirteenBit_t|
var|Ver|nOfReroutingFailed|Number of commands for which re-routing failed|0|||Ver:CrPsNOfCmd_t|
var|Ver|pcktIdReroutingFailed|Packet identifier of last command for which re-routing failed|0|||Gen:CrPsThirteenBit_t|
var|Ver|invDestRerouting|Destination of last command for which re-routing failed|0|||Gen:CrFwDestSrc_t|
var|Ver|failData|Verification Failure Data (data item of fixed size but variable meaning)|0|||Ver:CrPsFailData_t|
var|Tst|areYouAliveSrc|Source of the latest (17,2) report received in response to a (17,1) command triggered by a (17,3) command|0|||Gen:CrFwDestSrc_t|
par|Tst|areYouAliveTimeOut|Time-out for the Are-You-Alive Test initiated in response to an On-Board Connection Test|0|||Gen:CrFwTime_t|
var|Tst|onBoardConnectDest|Destination of the (17,1) triggered by a (17,3) command|0|||Gen:CrFwDestSrc_t|
par|Tst|onBoardConnectDestLst|Identifiers of target applications for an On-Board-Connection Test|0||Tst:TST\_N\_DEST|Gen:CrFwDestSrc_t|
var|Hk|cycleCnt|Cycle Counter for Reports in RDL|0||Hk:HK\_N\_REP\_DEF|Hk:CrPsCycleCnt_t|
var|Hk|sampleBufId|Identifiers of Sampling Buffers|0||Hk:HK\_N\_REP\_DEF|Hk:CrPsSampleBufId_t|The i-th element of this array is the identifier of the Sampling Buffer for the i-th Report Definition in the RDL
var|Hk|debugVar|Value of Debug Variables|0||Hk:HK\_N\_DEBUG\_VAR|Gen:CrPsThirtytwoBit_t|
par|Hk|debugVarAddr|Address of Debug Variables|0||Hk:HK\_N\_DEBUG\_VAR|Gen:CrPsThirtytwoBit_t|
